Temperature,Humidity,CO2,HumidityRatio,Occupancy,Hour,Minute,Day
23.7,26.27,749.2,0.00476,1,14,19,2
23.72,26.29,760.4,0.00477,1,14,19,2
23.73,26.23,769.67,0.00477,1,14,21,2
23.72,26.12,774.75,0.00474,1,14,22,2
23.75,26.2,779.0,0.00477,1,14,23,2
23.76,26.26,790.0,0.00478,1,14,23,2
23.73,26.29,798.0,0.00478,1,14,25,2
23.75,26.29,797.0,0.00478,1,14,25,2
23.75,26.35,803.2,0.00479,1,14,26,2
23.74,26.39,809.0,0.0048,1,14,28,2
23.74,26.44,815.25,0.00481,1,14,29,2
23.7,26.56,824.0,0.00482,1,14,30,2
23.7,26.6,832.0,0.00482,1,14,31,2
23.7,26.7,845.33,0.00484,1,14,31,2
23.7,26.77,852.4,0.00486,1,14,32,2
23.7,26.89,861.0,0.00488,1,14,34,2
23.7,26.97,880.0,0.00489,1,14,35,2
23.6,26.89,891.0,0.00485,1,14,36,2
23.64,26.98,897.6,0.00488,1,14,37,2
23.65,27.05,900.5,0.00489,1,14,38,2
23.64,27.1,908.8,0.0049,1,14,38,2
23.6,27.16,918.0,0.0049,1,14,39,2
23.6,27.24,925.2,0.00491,1,14,41,2
23.6,27.29,929.4,0.00492,1,14,42,2
23.6,27.33,936.4,0.00493,1,14,43,2
23.6,27.34,950.0,0.00493,1,14,44,2
23.62,27.39,961.0,0.00495,1,14,44,2
23.6,27.39,963.0,0.00494,1,14,45,2
23.6,27.41,958.6,0.00494,1,14,47,2
23.6,27.5,965.33,0.00496,1,14,48,2
23.6,27.52,979.25,0.00496,1,14,49,2
23.6,27.6,978.43,0.00498,1,14,50,2
23.6,27.6,983.0,0.00498,1,14,51,2
23.6,27.54,992.6,0.00497,1,14,51,2
23.6,27.6,997.2,0.00498,1,14,53,2
23.62,27.63,999.5,0.00499,1,14,54,2
23.67,27.7,1001.0,0.00502,1,14,55,2
23.6,27.7,1009.5,0.00499,1,14,55,2
23.6,27.72,1019.0,0.005,1,14,57,2
23.6,27.79,1021.0,0.00501,1,14,57,2
23.6,27.86,1024.67,0.00502,1,14,58,2
23.6,27.8,1030.43,0.00501,1,15,0,2
23.58,27.79,1026.25,0.005,1,15,1,2
23.54,27.81,1028.0,0.005,1,15,2,2
23.6,27.98,1034.8,0.00505,1,15,3,2
23.52,28.0,1055.5,0.00503,1,15,4,2
23.5,27.98,1055.25,0.00501,1,15,4,2
23.5,28.0,1050.0,0.00502,1,15,6,2
23.5,28.0,1051.25,0.00502,1,15,7,2
23.5,28.0,1053.6,0.00502,1,15,8,2
23.5,28.0,1055.5,0.00502,1,15,8,2
23.5,28.02,1055.0,0.00502,1,15,10,2
23.44,28.12,1059.5,0.00502,1,15,10,2
23.39,28.18,1060.0,0.00502,1,15,11,2
23.39,28.2,1073.6,0.00502,1,15,13,2
23.39,28.2,1078.6,0.00502,1,15,14,2
23.39,28.2,1081.0,0.00502,1,15,15,2
23.39,28.22,1082.0,0.00503,1,15,16,2
23.39,28.37,1088.83,0.00505,1,15,16,2
23.37,28.39,1090.6,0.00505,1,15,17,2
