Temperature,Humidity,CO2,Occupancy,weekend,tod_sin,tod_cos
21.76,31.13333,1029.67,1,0,-0.6691306063588582,-0.7431448254773942
21.79,31.0,1000.0,1,0,-0.6723668074346678,-0.7402181274868322
21.77,31.1225,1003.75,1,0,-0.6755902076156598,-0.7372773368101244
21.77,31.1225,1009.5,1,0,-0.6788007455329418,-0.7343225094356856
21.79,31.13333,1005.67,1,0,-0.6788007455329418,-0.7343225094356856
21.76,31.26,1014.33,1,0,-0.6851829903263588,-0.7283709698824006
21.79,31.1975,1018.5,1,0,-0.6883545756937537,-0.7253743710122879
21.79,31.39333,1018.67,1,0,-0.6915130557822693,-0.7223639620597556
21.79,31.3175,1022.0,1,0,-0.6915130557822693,-0.7223639620597556
21.79,31.46333,1027.33,1,0,-0.69779045984168,-0.7163019434246544
21.79,31.525,1047.75,1,0,-0.69779045984168,-0.7163019434246544
21.79,31.575,1049.0,1,0,-0.7009092642998509,-0.7132504491541817
21.79,31.395,1061.5,1,0,-0.7071067811865475,-0.7071067811865477
21.79,31.3925,1049.0,1,0,-0.7101853756232851,-0.7040147244559687
21.79,31.5,1048.0,1,0,-0.7132504491541817,-0.7009092642998508
21.82,31.5,1049.25,1,0,-0.7163019434246541,-0.6977904598416802
21.82,31.4725,1051.25,1,0,-0.7193398003386509,-0.6946583704589975
21.89,31.6,1060.5,1,0,-0.7193398003386509,-0.6946583704589975
21.79,31.55,1059.5,1,0,-0.7253743710122876,-0.6883545756937539
21.82,31.73,1072.0,1,0,-0.7283709698824001,-0.6851829903263593
21.86,31.7225,1072.33,1,0,-0.7313537016191701,-0.6819983600624989
21.89,31.745,1075.33,1,0,-0.7313537016191701,-0.6819983600624989
21.89,31.7675,1087.0,1,0,-0.7372773368101239,-0.6755902076156604
21.89,31.7675,1083.25,1,0,-0.7372773368101239,-0.6755902076156604
21.89,31.79,1086.33,1,0,-0.740218127486832,-0.672366807434668
21.89,31.79,1091.0,1,0,-0.7460573750616994,-0.6658816660008344
21.89,31.89,1100.0,1,0,-0.7489557207890022,-0.6626200482157374
21.89,31.89,1101.0,1,0,-0.7518398074789773,-0.6593458151000691
21.89,31.865,1107.0,1,0,-0.7547095802227717,-0.6560590289905077
21.89,31.79,1110.0,1,0,-0.7547095802227717,-0.6560590289905077
21.89,31.865,1101.75,1,0,-0.7575649843840494,-0.6527597524627227
21.89,31.73,1100.0,1,0,-0.7632324697825289,-0.6461239796429639
21.89,31.7225,1092.75,1,0,-0.7660444431189779,-0.6427876096865395
21.89,31.7,1092.5,1,0,-0.7688418320734598,-0.6394390019805845
21.89,31.695,1094.0,1,0,-0.77162458338772,-0.6360782202777638
21.89,31.56667,1085.67,1,0,-0.7743926440821854,-0.6327053285625162
21.89,31.55,1047.0,0,0,-0.7743926440821854,-0.6327053285625162
21.89,31.36,1031.0,0,0,-0.7771459614569711,-0.6293203910498371
21.89,31.125,977.5,0,0,-0.7826081568524138,-0.6225146366376196
21.89,31.15,961.25,1,0,-0.7853169308807447,-0.6190939493098343
21.89,31.06333,948.0,1,0,-0.7880107536067221,-0.6156614753256581
21.89,30.77,913.25,1,0,-0.7906895737438433,-0.6122172800344493
