Temperature,Humidity,CO2,Occupancy,minute,hour,day
23.7,26.272,749.2,1,19,14,2
23.72,26.29,760.4,1,19,14,2
23.73,26.23,769.67,1,21,14,2
23.72,26.125,774.75,1,22,14,2
23.75,26.2,779.0,1,23,14,2
23.76,26.26,790.0,1,23,14,2
23.73,26.29,798.0,1,25,14,2
23.75,26.29,797.0,1,25,14,2
23.75,26.35,803.2,1,26,14,2
23.74,26.39,809.0,1,28,14,2
23.74,26.445,815.25,1,29,14,2
23.7,26.56,824.0,1,30,14,2
23.7,26.6,832.0,1,31,14,2
23.7,26.7,845.33,1,31,14,2
23.7,26.774,852.4,1,32,14,2
23.7,26.89,861.0,1,34,14,2
23.7,26.9725,880.0,1,35,14,2
23.6,26.89,891.0,1,36,14,2
23.64,26.976,897.6,1,37,14,2
23.65,27.05,900.5,1,38,14,2
23.64,27.1,908.8,1,38,14,2
23.6,27.16,918.0,1,39,14,2
23.6,27.236,925.2,1,41,14,2
23.6,27.29,929.4,1,42,14,2
23.6,27.33,936.4,1,43,14,2
23.6,27.34,950.0,1,44,14,2
23.62,27.3925,961.0,1,44,14,2
23.6,27.39,963.0,1,45,14,2
23.6,27.412,958.6,1,47,14,2
23.6,27.5,965.33,1,48,14,2
23.6,27.525,979.25,1,49,14,2
23.6,27.6,978.43,1,50,14,2
23.6,27.6,983.0,1,51,14,2
23.6,27.54,992.6,1,51,14,2
23.6,27.6,997.2,1,53,14,2
23.62,27.63333,999.5,1,54,14,2
23.67,27.7,1001.0,1,55,14,2
23.6,27.7,1009.5,1,55,14,2
23.6,27.7225,1019.0,1,57,14,2
23.6,27.79,1021.0,1,57,14,2
23.6,27.85667,1024.67,1,58,14,2
23.6,27.80429,1030.43,1,0,15,2
23.58,27.79,1026.25,1,1,15,2
23.54,27.81,1028.0,1,2,15,2
23.6,27.978,1034.8,1,3,15,2
23.52,28.0,1055.5,1,4,15,2
23.5,27.978,1055.25,1,4,15,2
23.5,28.0,1050.0,1,6,15,2
23.5,28.0,1051.25,1,7,15,2
23.5,28.0,1053.6,1,8,15,2
23.5,28.0,1055.5,1,8,15,2
23.5,28.025,1055.0,1,10,15,2
23.44,28.125,1059.5,1,10,15,2
23.39,28.18,1060.0,1,11,15,2
23.39,28.2,1073.6,1,13,15,2
23.39,28.2,1078.6,1,14,15,2
23.39,28.2,1081.0,1,15,15,2
23.39,28.2225,1082.0,1,16,15,2
23.39,28.37333,1088.83,1,16,15,2
23.37,28.39,1090.6,1,17,15,2
23.39,28.32333,1086.0,1,19,15,2
23.37,28.445,1092.5,1,20,15,2
23.39,28.5,1103.75,1,21,15,2
23.32,28.5,1104.5,1,22,15,2
23.36,28.5,1103.5,1,23,15,2
23.29,28.5,1112.0,1,23,15,2
23.31,28.53333,1105.67,1,24,15,2
23.29,28.7,1104.0,1,26,15,2
23.29,28.7,1117.2,1,27,15,2
23.29,28.675,1121.25,1,28,15,2
23.29,28.61667,1115.67,1,29,15,2
23.29,28.66,1120.0,1,29,15,2
23.29,28.55,1123.75,1,30,15,2
