University Rating,SOP,LOR ,Research,Chance of Admit ,adm_score
3,4.4,3.1,1,90.1,131.16
3,4.1,3.1,1,55.3,120.15
2,3.9,4.2,1,85.2,130.98
4,5.0,5.0,1,93.6,135.97
5,4.5,4.8,1,84.4,129.68
2,4.8,4.9,1,74.0,122.81
2,3.2,2.5,0,65.4,124.63
3,3.7,4.2,0,55.7,117.19
2,2.1,2.7,0,50.5,119.27
3,3.1,1.6,0,56.2,121.39
2,2.6,4.2,1,93.0,134.82
3,4.6,4.7,1,86.8,127.44
3,2.8,4.6,0,72.1,124.75
3,2.5,2.0,1,78.5,126.11
3,4.2,4.7,1,91.3,131.55
2,4.1,4.9,1,90.4,123.1
4,1.2,2.5,1,88.8,131.56
2,2.9,1.7,1,50.0,124.34
5,3.5,3.1,1,74.1,126.62
4,4.2,4.8,1,85.2,132.78
3,5.0,4.8,0,95.6,131.02
3,2.3,2.1,0,75.8,131.04
3,4.8,2.1,0,67.1,121.0
2,3.8,2.3,0,56.2,121.02
5,1.9,2.5,0,40.9,119.72
4,5.0,4.4,1,96.8,136.68
3,2.4,4.5,0,60.3,119.48
3,3.4,4.0,0,80.4,129.62
4,3.7,4.2,0,77.3,127.05
4,2.8,2.5,0,82.6,133.01
3,3.7,2.5,0,66.4,122.97
4,2.4,1.7,1,75.6,126.76
2,3.8,3.4,1,59.7,122.78
3,5.0,3.6,1,77.5,132.9
5,4.5,3.9,1,85.4,128.39
5,4.4,3.8,0,50.0,119.67
2,4.4,3.4,1,82.9,131.67
3,3.9,2.8,0,62.0,124.69
4,2.7,2.6,1,80.1,129.64
5,3.0,3.4,0,67.8,128.13
5,1.1,2.8,0,61.0,123.58
2,1.2,1.7,0,44.6,115.76
3,2.4,1.9,1,54.9,120.99
2,1.4,2.5,0,65.6,124.04
2,1.0,3.1,0,49.2,120.62
2,2.1,1.6,1,53.7,122.23
2,2.1,3.2,1,63.9,123.55
1,1.8,3.3,0,46.7,117.5
2,4.2,3.2,1,83.9,128.42
5,4.8,3.1,0,79.5,126.37
4,2.0,1.6,1,74.6,126.03
4,1.8,3.0,0,80.3,128.76
2,2.4,3.0,0,67.1,128.12
2,4.1,4.3,1,75.9,134.25
2,5.0,4.0,1,97.0,136.68
2,2.0,3.3,0,37.2,119.12
3,4.8,4.9,1,95.5,135.59
5,1.9,4.9,1,77.3,129.9
2,5.0,5.0,1,97.0,136.68
4,4.2,4.6,1,94.6,132.05
3,3.3,3.3,0,54.6,118.62
5,2.6,1.8,0,47.0,121.38
2,4.7,3.5,1,85.0,131.47
5,1.0,1.6,1,47.6,117.56
3,4.9,4.9,0,94.6,133.31
4,2.6,3.9,0,61.8,124.14
2,4.8,3.4,0,63.0,120.18
2,4.9,3.9,0,69.4,127.73
3,5.0,4.7,1,96.4,134.88
2,3.3,3.1,1,69.7,126.84
4,4.6,4.8,1,92.8,134.79
5,4.8,3.6,1,57.3,119.18
3,2.4,2.7,0,52.1,121.31
3,1.2,2.8,0,65.9,125.67
3,3.3,2.5,1,93.6,131.46
3,1.6,1.6,1,43.1,118.85
3,3.6,3.6,1,91.3,128.86
1,1.8,2.1,0,43.9,120.73
3,4.9,4.1,0,60.4,117.48
4,3.7,4.8,1,86.8,131.94
4,3.3,4.0,0,78.2,128.0
4,2.4,3.2,1,69.2,125.48
5,1.1,2.9,0,40.3,117.14
3,2.9,2.1,1,77.5,127.25
3,4.3,3.4,1,72.3,129.43
3,2.0,2.3,1,62.0,121.54
3,3.8,1.9,0,83.0,129.62
3,4.7,4.5,1,81.7,130.1
2,4.7,4.1,0,89.8,130.98
1,1.2,2.6,0,71.0,124.25
2,1.5,3.9,1,82.9,127.01
1,2.2,2.3,0,63.0,125.93
5,2.2,4.0,1,66.1,123.25
2,2.2,1.8,1,46.5,121.12
3,4.9,3.8,1,87.3,131.36
2,3.3,2.5,0,36.9,114.53
2,4.0,4.2,1,61.1,117.47
2,4.0,4.4,1,88.1,126.97
4,4.8,4.9,1,75.5,124.87
3,4.4,4.4,0,85.3,132.2
3,2.0,3.9,1,52.2,124.37
1,2.7,2.1,1,49.5,121.39
5,4.7,4.6,1,96.3,133.37
4,3.9,4.7,1,93.6,135.65
2,2.3,2.4,1,67.5,127.22
2,4.9,4.9,1,71.7,124.42
3,2.7,3.3,0,44.4,116.19
2,3.9,3.2,1,74.2,120.81
1,3.8,3.7,0,63.9,121.03
5,1.4,2.5,1,64.0,126.49
5,4.5,3.9,1,82.7,128.52
3,2.7,4.4,0,81.7,127.18
1,1.7,1.4,0,38.6,116.3
3,4.1,3.5,1,74.5,126.42
5,2.2,3.6,0,61.3,123.96
3,4.6,3.4,1,95.6,135.74
3,2.5,3.2,1,54.6,121.93
3,4.4,3.5,0,60.8,122.69
4,2.0,4.5,1,69.4,123.3
4,2.4,2.4,0,60.3,119.44
4,3.1,2.4,1,79.5,124.76
3,3.7,3.0,0,55.4,122.69
5,1.7,2.2,0,89.5,130.2
3,3.6,3.0,1,75.8,126.26
4,3.4,3.2,0,73.5,121.78
2,3.1,3.0,0,58.5,123.13
1,4.3,4.7,1,93.9,132.96
4,5.0,4.2,0,90.9,132.77
3,4.5,4.9,0,74.8,124.19
3,2.5,3.1,0,70.4,124.54
5,2.9,3.7,1,77.3,132.73
3,4.9,3.9,0,76.0,130.5
3,4.9,3.5,1,72.6,119.12
2,4.3,4.8,0,67.7,126.96
2,3.2,2.7,1,69.3,122.39
2,4.8,4.1,0,91.6,129.93
4,4.9,4.9,0,94.7,132.43
5,1.1,3.3,0,56.9,116.98
3,2.9,1.6,1,74.7,126.64
1,3.9,3.7,0,74.9,126.66
2,2.9,3.3,0,92.0,129.35
3,5.0,5.0,0,94.3,131.45
2,3.6,3.3,0,74.3,128.21
3,3.4,4.9,1,88.6,132.38
5,1.4,2.6,0,70.0,125.14
4,2.4,3.4,1,47.8,118.11
2,2.0,1.9,1,56.7,122.52
3,1.9,4.1,0,73.5,125.48
3,3.0,3.1,1,44.4,116.45
2,3.9,4.8,1,91.3,134.28
5,2.6,2.0,0,80.3,126.59
4,4.9,5.0,1,95.5,136.39
4,3.7,2.5,0,63.6,120.61
5,1.3,1.6,1,65.6,123.0
5,4.6,4.3,0,81.6,128.84
1,3.2,4.2,1,78.5,128.99
2,4.5,4.9,1,94.9,132.43
2,4.3,3.7,0,69.0,123.89
3,4.7,4.5,0,76.0,128.05
2,2.4,3.6,0,50.2,115.86
1,3.8,2.7,0,56.6,120.01
2,3.0,3.4,1,84.4,125.26
3,3.3,3.0,1,69.1,125.49
2,3.5,3.7,0,56.6,120.59
2,3.0,3.1,0,53.1,121.24
4,4.7,4.4,1,90.6,131.41
3,1.2,1.5,1,42.8,116.23
2,1.3,1.8,0,52.1,115.73
2,2.5,2.6,0,48.3,117.83
2,3.2,4.4,1,80.2,126.96
4,2.7,2.9,1,47.2,122.43
3,3.7,2.7,0,47.7,115.93
3,1.0,2.5,1,68.6,129.53
1,4.7,3.7,0,78.4,128.43
2,2.0,1.4,0,48.9,121.16
2,1.7,2.0,1,71.9,126.34
3,4.9,3.7,1,69.3,128.99
2,4.9,5.0,1,89.8,126.47
3,4.3,4.5,1,57.4,122.55
4,3.4,2.5,1,54.1,123.17
3,4.9,4.9,1,92.8,129.09
3,1.5,2.2,1,60.7,122.82
2,4.7,4.6,0,87.1,129.21
3,1.2,1.9,1,67.5,121.56
4,1.3,3.0,1,74.1,128.4
4,4.8,3.0,0,85.4,130.76
3,4.6,3.1,0,90.0,126.64
4,2.1,2.8,1,93.8,135.26
4,3.7,3.7,0,47.4,116.79
5,2.4,4.0,0,52.5,120.89
5,2.3,4.4,0,85.6,127.06
2,2.1,2.1,1,65.0,122.78
3,2.8,2.7,0,83.1,129.37
